Brix	Messobjekt	Kurz	Tomate	Rispe	Reihe	Tag	Temp0	Temp1	Temp2	A_410	B_435	C_460	D_485	E_510	F_535	G_560	H_585	R_610	I_645	S_680	J_705	T_730	U_760	V_810	W_860	K_900	L_940
continuous	d	string	d	d	d	d	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class	meta	meta	meta	meta	meta	meta	meta	meta	meta																		
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	39	32	630.23	1111.21	6754.32	501.53	1657.19	7516.47	881.94	1525.95	20729.8	2837.55	3678.37	1581.28	2219.16	1080.64	2860.49	3099.48	2717.21	1095.82
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	39	32	1255.57	2820.62	7603.89	1593.19	4091.56	6707.86	1153.45	2307.97	17116.7	3620.73	4662.7	1267.19	1738.04	1056.72	2742.85	4500.69	2591.88	1508.67
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	40	31	919.72	3728.56	6863.88	1456.41	5889.59	4727.58	928.9	2003.32	16691.8	3007.4	3486.15	1340.29	1550.04	875.68	1981.09	4062.39	2220.1	1604.46
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	40	32	1066.1	1997.86	7157	2098.16	5237.59	5063.15	892.78	1782.87	17097.3	3575.7	5672.33	1363.31	1786.38	986.53	3486.77	3834.84	2769.32	1387.97
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	33	40	31	892.08	2986.14	5983.55	1628.46	4211.53	6088.89	969.84	2240.92	17671.4	5297.22	4179.13	1414.3	1586.87	891.63	2819.11	4284.34	3467.1	1751.01
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	1103.51	2019.16	6297.82	2114.51	4456.68	5253.49	745.29	1430.48	17017.6	3232.57	5694.59	1076.3	1834.72	1101.38	3364.28	5175.52	2553.85	1173.41
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	31	526.95	1636.81	5318.5	984.13	3034.96	2873.49	1252.78	2743.5	24361.1	3247.74	3617.67	1914.77	1569.22	856.54	2416.73	5210.27	2653.84	1592
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	713.99	3205.87	7789.38	1281.78	5160.09	4253.13	954.18	2115.95	14056	3900.23	4853.91	1272.6	1358.2	799.12	2587.09	3664.45	2485.55	1625.53
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	588.75	1983.34	3277.21	1744.6	1684.76	4047.28	576.72	1088.82	13759.9	3389.2	4015.25	858.78	1521.65	932.3	2810.19	4832.5	2748.9	1076.66
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	799.37	1738.45	2924.5	2078.38	2300.99	5187.93	922.28	1757.66	12611.7	3594.3	3070.36	1200.85	1358.2	807.09	2247.99	3491.82	2957.32	1419.58
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	1283.22	4726.53	5823.05	1763.52	4274.87	6249.63	787.43	1455.15	18746.7	4837.1	3896.88	977.47	2144.73	1311.92	2486.5	5360.48	3248.12	1144.67
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	41	32	461.9	1918.49	2640.03	2136.88	2675.8	3366.97	784.42	1929.3	20085.1	4587.96	4521.07	1344.35	1976.68	1096.59	2915.65	5351.51	3202.35	1865
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	35	41	32	666.01	2284.38	3369.47	1945.9	3563.26	4420.91	1008.36	1966.31	38588	5207.16	9140.28	1898.07	3492.19	2047.24	5561.15	13135.5	12925.6	4598.8
6.3	10401T5	1To4Ri2Re5Ta	1To	4Ri	2Re	5Ta	34	42	32	1197.84	2110.14	4240.19	1428.88	2969.38	3761.06	626.69	1242.22	38568.6	4044.14	13727.1	1620.99	3868.95	2314.41	9774	17681	7178.53	3394.74
